uuid,type,color,mileage,accesories,capacity,rating,brand,model,year,fuel_type,weight
7202b0e2-04ac-41b4-86d1-cc403770e57d,sedan,Puce,14431,"[""car charger"",""floor mats"",""seat covers"",""roof rack"",""bluetooth""]",8,4,Dodge,Ram Van 1500,1995,electric,1844.91
5b13062e-7c48-4d7b-b6e6-96276e3ac585,SUV,Indigo,15326,"[""phone holder"",""floor mats"",""roof rack""]",4,4,Lamborghini,Murciélago,2002,hybrid,4641.93
6e81a72e-9126-4438-89b3-d0e3b56ee5b1,sedan,Green,28290,"[""floor mats"",""phone holder"",""roof rack"",""seat covers"",""car charger""]",5,4,Chevrolet,Avalanche,2010,hybrid,2987.88
88ac9387-f6ea-46fa-b3a6-825a3a51f8a9,SUV,Fuscia,10439,"[""bluetooth"",""roof rack"",""car charger""]",2,4,GMC,Yukon,1994,hybrid,2911.01
ef29525b-d846-42be-af37-8d361080214e,SUV,Aquamarine,16458,"[""car charger"",""phone holder"",""bluetooth"",""seat covers"",""floor mats"",""roof rack""]",7,4,Suzuki,Swift,2000,diesel,1121.15
a3894f19-107f-4145-a375-d2c9d5c269b9,minivan,Green,18094,"[""bluetooth"",""floor mats"",""car charger"",""seat covers""]",1,4,Lincoln,MKS,2011,diesel,1745.95
ab6d8b8b-7623-4075-8f38-718ceb5f4879,pickup truck,Blue,6410,"[""phone holder"",""car charger"",""seat covers"",""floor mats""]",5,4,Chevrolet,TrailBlazer,2005,diesel,3233.81
0a238f91-9a50-419d-98d4-e633deb298e9,sedan,Crimson,8082,"[""roof rack"",""floor mats"",""phone holder"",""seat covers"",""bluetooth""]",2,4,BMW,X6,2012,gasoline,2381.47
02280f7f-096a-4a72-a67e-c6c89d7e8dcd,hatchback,Puce,2097,"[""roof rack"",""seat covers""]",6,4,Chevrolet,Corsica,1992,electric,4221.04
ecfc6f8a-6497-4a0c-9447-b37b3c115847,sedan,Purple,32234,"[""roof rack""]",8,4,Mitsubishi,RVR,1994,gasoline,3535.66
06cbea8c-824b-4573-ab46-9a37b9cd4373,sedan,Yellow,40868,"[""seat covers"",""car charger"",""bluetooth"",""roof rack""]",1,4,Mercedes-Benz,SL-Class,1985,diesel,4519.96
5337957c-99cb-4bfd-bc8a-698c4d7ba892,sedan,Yellow,8576,"[""bluetooth""]",9,4,Volvo,S80,2011,hybrid,3063.69
e8cc4b80-c650-4ca5-adff-df93163a2422,SUV,Turquoise,39024,"[""seat covers"",""roof rack"",""floor mats"",""phone holder"",""bluetooth"",""car charger""]",5,4,Buick,LeSabre,1991,electric,4890.05
198fd393-134c-4f3a-b579-7c331200204b,sedan,Turquoise,13512,"[""seat covers"",""car charger"",""phone holder"",""bluetooth""]",5,4,Acura,RSX,2002,diesel,4878.26
f44c08d2-3a36-45ff-85be-cea427bdcf0b,minivan,Indigo,23003,"[""floor mats"",""car charger"",""seat covers"",""phone holder"",""roof rack"",""bluetooth""]",2,4,Geo,Prizm,1992,diesel,3211.71
cf1a6ae9-a373-43d3-9bcf-41fccf5940cf,SUV,Violet,33420,"[""seat covers"",""roof rack"",""floor mats""]",2,4,Hyundai,Sonata,1995,gasoline,4419.92
42a2ff5d-84e1-4730-83de-26331d347299,hatchback,Orange,27773,"[""roof rack"",""floor mats"",""car charger"",""seat covers"",""bluetooth""]",10,4,Chevrolet,Astro,2005,hybrid,4105.44
86c28f47-fa6c-4556-9596-e6da74c103e0,SUV,Purple,26285,"[""roof rack"",""seat covers"",""bluetooth"",""phone holder"",""car charger"",""floor mats""]",4,4,Audi,R8,2012,hybrid,4520.98
57d052c1-65f3-45fa-8ae6-3f9e5f872161,hatchback,Crimson,39268,"[""seat covers"",""floor mats"",""car charger""]",9,4,Bentley,Mulsanne,2011,diesel,3334.45
ea167be9-6e25-48e7-a08e-fff01d4725ae,sedan,Fuscia,19061,"[""seat covers"",""car charger"",""bluetooth"",""roof rack"",""floor mats""]",7,4,Ford,Expedition EL,2011,hybrid,3460.07
9d9ebbc0-fe06-42d8-bc9c-830e35cc855a,sedan,Khaki,17428,"[""bluetooth"",""phone holder"",""car charger"",""floor mats"",""roof rack""]",5,4,Mitsubishi,Galant,1996,gasoline,4383.49
8fb92116-9402-4bf0-b670-f3732b4c6c7c,sedan,Teal,2256,"[""car charger"",""seat covers""]",10,4,Jaguar,X-Type,2002,diesel,3090.84
a7ad57b7-50b6-402e-bfc9-dc7af5906941,convertible,Pink,46533,"[""roof rack"",""seat covers"",""floor mats"",""car charger""]",7,4,Cadillac,CTS,2003,hybrid,4850.94
e68a71b8-5beb-41d7-ac36-a52a51bf183d,pickup truck,Teal,32843,"[""car charger"",""bluetooth"",""phone holder"",""seat covers"",""roof rack"",""floor mats""]",10,4,Mazda,Mazda5,2009,diesel,2196.01
eab5fce7-09b5-4aa6-b0f3-7a2b524721ee,sedan,Green,28064,"[""bluetooth"",""floor mats""]",5,4,BMW,X5 M,2010,gasoline,4088.14
7277aa9b-da5f-402e-978c-b22daae4df54,SUV,Yellow,43932,"[""car charger"",""seat covers"",""bluetooth""]",2,4,Cadillac,Seville,1995,biofuel,4605.74
af0738be-eb5d-4842-9c4e-79755e612486,sedan,Crimson,24047,"[""phone holder"",""roof rack""]",7,4,Mercedes-Benz,GL-Class,2007,electric,1595.3
c87a0b29-5d7e-49bf-882e-38454af1254c,minivan,Teal,38776,"[""roof rack"",""bluetooth"",""floor mats""]",5,4,Lexus,RX,2005,electric,2781.11
8eb61cc8-45b9-4976-9f77-675bc10ea583,minivan,Green,45802,"[""car charger"",""roof rack"",""floor mats"",""bluetooth""]",4,4,Pontiac,Firebird,1999,electric,4250.79
ef0b6a32-bc5c-43ad-9a46-835019ccdd68,pickup truck,Blue,27887,"[""car charger"",""floor mats""]",10,4,Ford,Festiva,1989,diesel,4793.3
c0f7ad99-5aa7-4607-ad74-7aeb791fcda9,sedan,Khaki,14169,"[""seat covers"",""floor mats"",""phone holder""]",1,4,GMC,Rally Wagon 2500,1994,gasoline,2323.85
52c0774e-15c4-4ada-b2ff-c2273955191a,hatchback,Turquoise,26958,"[""seat covers"",""roof rack"",""bluetooth"",""floor mats""]",9,4,Audi,TT,2011,biofuel,2339.84
1efb028e-d570-4367-833f-ce21b98eb510,pickup truck,Orange,26619,"[""seat covers"",""roof rack"",""phone holder"",""car charger"",""floor mats"",""bluetooth""]",10,4,Acura,ZDX,2012,electric,3283.87
c400bd28-e601-40f1-80de-8063bd2b9cba,hatchback,Yellow,40862,"[""seat covers"",""phone holder""]",10,4,Volkswagen,Passat,2012,gasoline,4659.59
ff3d3c27-9cd1-44c6-83a1-6ccacbda7b5c,minivan,Mauv,18932,"[""car charger"",""seat covers"",""roof rack"",""bluetooth"",""floor mats""]",5,4,Buick,LaCrosse,2008,electric,2806.0
f27bbac3-ec62-4d44-b869-56d7f1cf4e51,hatchback,Aquamarine,43667,"[""bluetooth"",""phone holder""]",6,4,Lexus,LS,2008,gasoline,3011.08
baa24998-62fb-427d-887b-90535a83c955,minivan,Puce,7704,"[""roof rack"",""floor mats"",""phone holder"",""car charger""]",1,4,Mitsubishi,RVR,1995,hybrid,2549.04
9b78a8fb-d295-4a7d-ac8d-9a91a08e5b7a,hatchback,Mauv,42319,"[""seat covers"",""floor mats"",""roof rack"",""phone holder"",""car charger""]",9,4,Infiniti,M,2006,biofuel,4062.94
97ac4856-ac14-4ebe-8f4d-6b23a8a4a790,sedan,Turquoise,25130,"[""roof rack"",""floor mats"",""phone holder""]",10,4,Dodge,Ram 2500,2005,biofuel,4214.08
2245d467-77e6-4f58-ab80-1201329c2fdf,luxury,Puce,48999,"[""car charger"",""roof rack"",""floor mats"",""bluetooth"",""seat covers""]",7,4,Chevrolet,Venture,2003,biofuel,1479.39
bb58c2a3-b15d-4d47-9710-ce1f44c56abc,hatchback,Orange,39057,"[""roof rack"",""floor mats""]",4,4,Volkswagen,GTI,2008,biofuel,1860.54
a33c4e7b-f6ac-48ab-bd4c-9fdefaa3ea72,luxury,Goldenrod,9837,"[""roof rack"",""floor mats""]",3,4,Mercury,Cougar,1988,biofuel,4252.77
1f3f9c40-768d-4f38-9cfb-639fd9237935,sedan,Puce,42584,"[""phone holder"",""car charger"",""floor mats"",""roof rack""]",9,4,Jaguar,X-Type,2006,biofuel,4942.78
f184cc34-5e45-4cb9-8e6e-6c5dc117dacf,sedan,Puce,5409,"[""bluetooth"",""car charger"",""phone holder"",""roof rack""]",6,4,Lexus,LX,2008,electric,3771.5
dcf7a454-baff-457c-b8c9-b061ee1b3c86,pickup truck,Khaki,22707,"[""car charger"",""roof rack"",""seat covers""]",10,4,Dodge,Stratus,1995,biofuel,4160.22
a958f1a4-18a9-4c10-a9e4-9402c71e16cc,minivan,Goldenrod,49909,"[""roof rack"",""bluetooth"",""car charger"",""seat covers"",""floor mats""]",8,4,Nissan,Quest,2008,electric,2411.66
49d0a098-de8f-433b-a4fc-0d3a55266bae,pickup truck,Red,33500,"[""roof rack""]",5,4,Ford,E350,2009,biofuel,2758.09
ae7ccb4b-050a-4d8c-a58b-03b9b589b288,pickup truck,Crimson,20290,"[""phone holder"",""floor mats"",""seat covers"",""roof rack"",""bluetooth"",""car charger""]",6,4,Buick,Park Avenue,2001,biofuel,4380.84
a532bca2-dd38-4b5e-9ae6-42bdd949ee1d,pickup truck,Purple,4930,"[""floor mats"",""roof rack"",""bluetooth""]",10,4,Dodge,Stratus,1995,biofuel,1886.24
ad86a7dd-a261-4778-a82b-5d3cfc1144e6,minivan,Puce,22569,"[""bluetooth"",""phone holder"",""car charger""]",1,4,Mercedes-Benz,G-Class,2006,hybrid,3463.73
2d57be23-1bbc-416a-90b1-6f65e8cc2b11,hatchback,Blue,36549,"[""roof rack"",""phone holder"",""car charger"",""floor mats"",""seat covers""]",2,4,Ford,Transit Connect,2010,diesel,4032.07
f2cc5ba1-c8e9-4c0a-9c12-6a78e57bbc65,minivan,Goldenrod,48844,"[""bluetooth"",""phone holder"",""seat covers"",""floor mats""]",9,4,Nissan,Altima,2000,electric,1550.2
bf8278a2-d677-4200-a628-b557268b672f,hatchback,Orange,17146,"[""phone holder"",""floor mats"",""bluetooth"",""car charger"",""seat covers"",""roof rack""]",3,4,Saab,9-5,2006,gasoline,4648.32
d0c2a330-e960-462b-a606-29c0f5b91f2d,SUV,Purple,27980,"[""car charger"",""seat covers"",""floor mats""]",2,4,Dodge,Grand Caravan,1994,electric,1227.98
76a40b2a-ee17-4584-93d5-0b895de6cbd2,minivan,Fuscia,43572,"[""seat covers"",""roof rack"",""bluetooth""]",6,4,Saturn,VUE,2007,hybrid,1325.82
b31a0a21-41c2-4eca-b527-f0c2d4f41b5f,SUV,Khaki,40761,"[""phone holder"",""roof rack""]",10,4,Mitsubishi,Montero,2002,hybrid,1462.57
ba40906a-3bd9-4e18-a33f-68ebb26ee50e,pickup truck,Purple,17338,"[""bluetooth"",""phone holder"",""seat covers"",""roof rack"",""car charger""]",5,4,Ford,Crown Victoria,1997,diesel,3620.93
9b517893-8232-44be-8ce0-b990854dfc9e,pickup truck,Turquoise,29522,"[""seat covers"",""phone holder"",""bluetooth"",""roof rack""]",7,4,BMW,6 Series,1989,diesel,3401.26
03c2c68e-5529-46f5-9e10-e1cb00eaa586,minivan,Fuscia,18698,"[""roof rack"",""car charger"",""floor mats"",""phone holder"",""seat covers"",""bluetooth""]",9,4,Cadillac,Escalade ESV,2005,gasoline,1977.77
3c310dfa-d435-43a6-aeb0-5f18c9d4c1e3,luxury,Khaki,12325,"[""roof rack"",""car charger"",""seat covers"",""phone holder"",""floor mats"",""bluetooth""]",6,4,Audi,S6,2009,electric,3263.14
2178ea38-c26a-4154-a2d9-03cddb55a11d,SUV,Red,47406,"[""roof rack"",""phone holder""]",4,4,Honda,Passport,2002,biofuel,3636.89
7fdd7cbd-310f-40fd-ad54-dbe8b55dbbf7,minivan,Green,26862,"[""roof rack"",""car charger"",""floor mats"",""seat covers"",""phone holder""]",4,4,Mercedes-Benz,G-Class,2004,diesel,2413.62
1d989d4c-3720-4467-8b43-509b3c83df3f,pickup truck,Crimson,49183,"[""seat covers"",""car charger""]",10,4,Mazda,MX-5,2008,diesel,3289.93
f1d370a0-166c-4ce3-ae88-18c47f9d82d1,sedan,Green,47924,"[""car charger"",""seat covers"",""phone holder""]",9,4,Kia,Spectra,2002,hybrid,4639.32
9b62cbae-9d23-4ae2-b2c3-94380891bf0a,pickup truck,Crimson,15006,"[""floor mats"",""seat covers"",""roof rack""]",8,4,Toyota,Celica,2004,biofuel,3755.39
ca629ecb-a235-474f-97e4-88ca40d3d745,pickup truck,Violet,3089,"[""roof rack"",""floor mats""]",5,4,Pontiac,Safari,1986,electric,3718.04
b12c1a99-5948-45d5-8c42-95c0a497dc07,hatchback,Fuscia,35742,"[""phone holder"",""roof rack"",""floor mats""]",6,4,Volkswagen,Passat,1991,biofuel,2753.28
8021e149-a3f1-4a63-88ff-dff1738f248d,minivan,Fuscia,28661,"[""phone holder""]",6,4,Toyota,Land Cruiser,1995,biofuel,2190.09
3e822907-3d91-40d1-8ce8-7a090e899ea5,hatchback,Teal,30791,"[""car charger"",""bluetooth"",""seat covers""]",5,4,Kia,Sephia,1997,hybrid,2003.24
a67965b2-1e55-4f97-b77a-87473cf285ef,SUV,Puce,4043,"[""bluetooth"",""phone holder"",""car charger"",""floor mats"",""roof rack""]",5,4,Audi,A4,2006,gasoline,1784.84
1ed281eb-8a5a-4c26-8fe3-b41628509247,pickup truck,Violet,10872,"[""roof rack"",""car charger"",""phone holder"",""bluetooth"",""floor mats""]",7,4,Saturn,Ion,2006,hybrid,1186.43
bde54c8e-7bef-410e-b524-bb201a0fb024,pickup truck,Maroon,38129,"[""floor mats""]",8,4,Ford,Transit Connect,2013,diesel,2234.32
b52d82fc-78d5-4a1e-b160-182849f60e13,hatchback,Yellow,45982,"[""seat covers"",""car charger"",""bluetooth"",""phone holder"",""floor mats"",""roof rack""]",9,4,Toyota,Land Cruiser,2011,gasoline,2811.95
815139ec-1486-4b41-b192-21b712b4e42f,hatchback,Fuscia,38894,"[""roof rack""]",7,4,Ford,Aerostar,1991,gasoline,3034.46
ad746239-fcf8-42f0-b163-8846fc432562,hatchback,Maroon,14417,"[""bluetooth"",""seat covers"",""car charger""]",5,4,Pontiac,G6,2006,hybrid,4069.73
444accad-5156-4251-89cf-de6d71fc7920,convertible,Goldenrod,33694,"[""car charger"",""seat covers"",""roof rack"",""phone holder""]",5,4,GMC,Savana,2006,diesel,2324.19
94e37075-9a89-426b-9a09-2efbc9fd5fd9,hatchback,Purple,4710,"[""seat covers"",""floor mats"",""car charger"",""bluetooth"",""roof rack""]",5,4,Dodge,Neon,1997,electric,2764.43
bb87eb18-8b45-4d70-ae89-abd9aabb7214,sedan,Mauv,15661,"[""roof rack""]",9,4,Buick,Regal,2004,diesel,2340.82
1cdf877b-5a75-4810-b5e5-1b78db4aaa5f,sedan,Teal,13906,"[""floor mats"",""bluetooth"",""car charger""]",8,4,Maybach,57,2009,electric,2006.77
176147e6-f4ea-492f-b662-9477ff673b75,luxury,Aquamarine,47837,"[""phone holder"",""seat covers"",""bluetooth""]",1,4,Mazda,MX-6,1990,electric,2191.32
6dcab130-4d14-4fcf-aa1e-b5ffccba9f92,SUV,Goldenrod,49046,"[""seat covers"",""car charger""]",7,4,Land Rover,LR2,2008,electric,1833.82
b24965cf-0693-4fe0-9c1d-7f4b6ac1490c,pickup truck,Pink,25738,"[""phone holder"",""seat covers"",""floor mats""]",10,4,Ford,Escort,1996,electric,4358.31
b6cb3f76-dce1-4a1d-b168-95e05bb2e1ef,SUV,Orange,21594,"[""floor mats"",""seat covers"",""roof rack"",""car charger""]",4,4,Toyota,Avalon,2005,diesel,4495.44
bdb99dc4-2973-4e42-b507-1d7d7e85c6ed,minivan,Blue,9643,"[""seat covers"",""phone holder"",""bluetooth"",""car charger"",""floor mats""]",10,4,Ford,E-Series,2007,biofuel,2547.56
2126245d-e59c-45b3-a6b2-531124eb47bb,pickup truck,Turquoise,49058,"[""roof rack"",""seat covers"",""bluetooth"",""phone holder"",""floor mats""]",3,4,Cadillac,Escalade ESV,2006,gasoline,3704.94
3c2fc966-2ecf-4932-bdec-b967dfed2acc,sedan,Maroon,28778,"[""seat covers"",""bluetooth"",""car charger"",""floor mats"",""phone holder""]",6,4,Mazda,MPV,2006,gasoline,3355.7
c1849a12-6292-4080-97a8-fa2a4c52602b,hatchback,Purple,40562,"[""phone holder"",""roof rack""]",2,4,Lexus,LX,2003,gasoline,3844.51
a805fecf-c200-4e70-be1e-2712161c8fa0,minivan,Goldenrod,11299,"[""car charger"",""bluetooth"",""seat covers"",""floor mats""]",3,4,Mitsubishi,Galant,1994,electric,2973.28
7f7bef5c-11d1-4a5d-a92b-2041bcb93dbc,hatchback,Goldenrod,37797,"[""bluetooth"",""roof rack""]",8,4,Pontiac,Vibe,2008,diesel,3150.45
7aebe915-842f-4751-a5fe-1be3bac96bf0,hatchback,Turquoise,21179,"[""floor mats"",""phone holder""]",8,4,Subaru,Impreza,2000,electric,4363.36
b2549454-f6d5-4409-8107-9c6fefeecb87,sedan,Maroon,34554,"[""bluetooth"",""floor mats"",""phone holder""]",2,4,Chevrolet,Corvette,2002,electric,4196.35
a5cb8376-9219-475c-9d51-9d44cf62f174,pickup truck,Indigo,26535,"[""seat covers"",""floor mats""]",5,4,Mazda,Mazda5,2010,gasoline,2602.99
e0d8ceaf-bc98-454e-bac2-2425d8067f24,sedan,Crimson,47370,"[""car charger"",""floor mats"",""roof rack"",""phone holder"",""seat covers""]",9,4,Lexus,GS,1994,gasoline,4845.72
818498ad-85ed-49a1-b080-d949d4da8759,SUV,Green,24479,"[""floor mats"",""phone holder"",""roof rack""]",4,4,Toyota,Celica,1999,biofuel,3418.37
01542430-1009-4aed-a003-7105eb3a7c0d,minivan,Yellow,1718,"[""floor mats""]",5,4,BMW,X5,2011,diesel,4622.68
b8a95516-e13a-4dae-b769-ab198dcb24a3,hatchback,Purple,47792,"[""seat covers"",""bluetooth"",""phone holder"",""floor mats"",""car charger"",""roof rack""]",4,4,Volvo,S40,2009,biofuel,4918.6
3caa9385-7891-402a-8329-338524d0e427,hatchback,Green,25825,"[""floor mats""]",5,4,Acura,TL,2002,biofuel,2493.77
